data,preco
2025-07-12 01:58:35,654446
2025-07-12 01:59:37,654290
2025-07-12 01:59:47,117676
2025-07-12 02:03:41,654351
2025-07-12 02:23:49,653978
2025-07-12 02:24:00,653978
2025-07-12 02:24:02,653978
2025-07-12 02:24:25,653995
2025-07-12 02:31:50,117632
2025-07-12 02:31:50,654055
2025-07-12 02:31:50,100636
2025-07-12 02:45:20,654393
